AS: 2882, node_degree: 1, IP_prefix: None/None
AS: 2895, node_degree: 474, IP_prefix: 193.233.0.0/16
AS: 2899, node_degree: 2, IP_prefix: None/None
AS: 2900, node_degree: 1, IP_prefix: 209.147.128.0/18
AS: 2905, node_degree: 60, IP_prefix: 216.5.192.0/21
AS: 2906, node_degree: 811, IP_prefix: 198.45.56.0/24
AS: 2907, node_degree: 102, IP_prefix: 219.112.227.0/24
AS: 2912, node_degree: 1, IP_prefix: 192.193.167.0/24
AS: 2914, node_degree: 1649, IP_prefix: 216.167.0.0/17
AS: 2939, node_degree: 1, IP_prefix: 209.133.128.0/18
AS: 3043, node_degree: 2, IP_prefix: 206.43.35.0/24
AS: 3058, node_degree: 13, IP_prefix: 194.85.185.0/24
AS: 3064, node_degree: 3, IP_prefix: 216.219.128.0/17
AS: 3067, node_degree: 5, IP_prefix: 196.13.160.0/24
AS: 3081, node_degree: 1, IP_prefix: 199.67.137.0/24
AS: 3112, node_degree: 37, IP_prefix: 208.108.244.0/22
AS: 3128, node_degree: 7, IP_prefix: 144.13.0.0/16
AS: 3130, node_degree: 15, IP_prefix: 198.180.153.0/24
AS: 3132, node_degree: 2, IP_prefix: 209.45.86.0/24
AS: 3164, node_degree: 4, IP_prefix: 188.241.194.0/24
AS: 3165, node_degree: 2, IP_prefix: 91.238.216.0/24
AS: 3169, node_degree: 256, IP_prefix: 176.124.140.0/22
AS: 3177, node_degree: 1, IP_prefix: 185.86.183.0/24
AS: 3185, node_degree: 2, IP_prefix: 195.191.151.0/24
AS: 3194, node_degree: 3, IP_prefix: 5.10.231.0/24
AS: 3202, node_degree: 10, IP_prefix: 91.238.193.0/24
AS: 3208, node_degree: 1, IP_prefix: 193.194.93.0/24
AS: 3209, node_degree: 143, IP_prefix: 213.128.116.184/29
AS: 3210, node_degree: 1, IP_prefix: 195.95.255.0/24
AS: 3212, node_degree: 50, IP_prefix: 217.72.64.0/19
AS: 3213, node_degree: 474, IP_prefix: 195.162.12.0/23
AS: 3215, node_degree: 158, IP_prefix: 217.167.0.0/16
AS: 3216, node_degree: 795, IP_prefix: 213.221.48.0/20
AS: 3218, node_degree: 10, IP_prefix: 194.85.208.0/20
AS: 3221, node_degree: 3, IP_prefix: 193.40.0.0/16
AS: 3223, node_degree: 186, IP_prefix: 195.60.76.0/23
AS: 3225, node_degree: 70, IP_prefix: 213.132.254.0/24
AS: 3226, node_degree: 6, IP_prefix: 217.114.144.0/20
AS: 3229, node_degree: 1, IP_prefix: 95.47.252.0/24
AS: 3233, node_degree: 1, IP_prefix: 212.35.128.0/19
AS: 3238, node_degree: 18, IP_prefix: 213.204.32.0/19
AS: 3239, node_degree: 4, IP_prefix: None/None
AS: 3243, node_degree: 8, IP_prefix: 213.13.0.0/16
AS: 3244, node_degree: 2, IP_prefix: 194.152.136.0/24
AS: 3245, node_degree: 10, IP_prefix: 193.68.128.0/17
AS: 3246, node_degree: 8, IP_prefix: 217.119.160.0/20
AS: 3249, node_degree: 41, IP_prefix: 217.159.128.0/17
AS: 3250, node_degree: 12, IP_prefix: 185.14.156.0/22
AS: 3252, node_degree: 1349, IP_prefix: 195.177.71.0/24
AS: 3253, node_degree: 9, IP_prefix: 217.114.224.0/20
AS: 3254, node_degree: 7, IP_prefix: 193.193.192.0/19
AS: 3255, node_degree: 480, IP_prefix: 217.65.255.0/24
AS: 3257, node_degree: 1566, IP_prefix: 217.79.160.0/20
AS: 3261, node_degree: 65, IP_prefix: 195.184.223.0/24
AS: 3262, node_degree: 66, IP_prefix: 212.81.128.0/17
AS: 3265, node_degree: 43, IP_prefix: 213.222.0.0/19
AS: 3267, node_degree: 1021, IP_prefix: 195.209.224.0/19
AS: 3268, node_degree: 1, IP_prefix: 194.42.32.0/21
AS: 3269, node_degree: 181, IP_prefix: 217.172.208.0/20
AS: 3277, node_degree: 1, IP_prefix: 195.208.112.0/20
AS: 3280, node_degree: 1, IP_prefix: 95.128.168.0/24
AS: 3291, node_degree: 1, IP_prefix: None/None
